Country,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat,Total Threat Score
New Caledonia,4.714285714285714e-05,0.0003133333333333333,0.009392103896103897,0.0005818450184501844,0.000606113537117904,0.0009937777777777779,0.006166380208333333,0.013694214659685863,0.03179491128794515
New Zealand,0.00020178756476683937,4.4837209302325584e-05,0.007856077922077922,0.0008759504132231404,0.0006864948453608247,0.00045817010309278354,0.005578645833333333,0.014717670157068064,0.03041963404822523
Oriental Republic of Uruguay,0.0009977835051546392,0.00022325268817204302,0.014684493506493507,0.0002599173553719008,0.0024816020671834626,0.002091159793814433,0.009908489583333334,0.009492486910994764,0.040139185410518086
People's Democratic Republic of Algeria,0.0006683247422680412,0.00011831550802139037,0.02900366233766234,0.0007226446280991735,0.00046123711340206186,0.0022704123711340205,0.02248872395833333,0.02250303664921466,0.07823635730813502
People's Republic of Bangladesh,0.0033441237113402064,0.0006140374331550802,0.028182025974025974,0.0006286776859504132,0.0026060051546391754,0.00803631443298969,0.020116302083333332,0.018495759162303664,0.08202324563773754
People's Republic of China,0.18099992268041237,0.00036467914438502674,0.0194007012987013,0.0003140220385674931,0.00026262886597938146,0.012178041237113402,0.01303765625,0.004002434554973822,0.23056008607013279
Plurinational State of Bolivia,0.0010515463917525774,7.994638069705093e-05,0.019207558441558442,0.0001581267217630854,0.0010207235142118863,0.00255090206185567,0.012418880208333332,0.014839057591623036,0.051326741311795085
Portuguese Republic,0.003486958762886598,6.085561497326203e-05,0.011925818181818183,0.0007130853994490358,0.003243479381443299,0.0016325257731958762,0.00898734375,0.015917774869109946,0.0459678417328762
Principality of Andorra,0.0007378571428571429,0.0001251388888888889,0.006896,0.0006570523415977961,0.0012639024390243903,0.0020687886597938144,0.00567203125,0.01492874345549738,0.03234951417765942
Principality of Liechtenstein,0.00023383720930232558,0.00027909090909090906,0.005852285714285714,0.000769612188365651,0.0009087025316455696,0.002027674418604651,0.004014192708333334,0.009434999999999999,0.023520395679628152
Principality of Monaco,0.00011309278350515464,0.000398421052631579,0.0028561818181818185,0.0003954347826086957,0.0037472994652406415,0.0018041436464088399,0.0028490364583333336,0.00931740837696335,0.021481018383873413
Republic of Albania,0.00021085271317829458,9.634146341463415e-05,0.015695844155844157,0.00046950413223140495,0.0021496858638743455,0.0011250257731958762,0.012565729166666666,0.020090366492146596,0.05240334976055198
Republic of Angola,0.0005205390835579516,9.068306010928962e-05,0.025141324675324678,0.00043994490358126726,0.0007721761658031088,0.002508453608247423,0.017027057291666665,0.018847696335078535,0.06534787512336893
Republic of Armenia,0.0006251688311688311,9.703812316715543e-05,0.01004696103896104,8.917127071823206e-05,0.000989483204134367,0.0022064948453608246,0.007367786458333333,0.01079285340314136,0.03221495717498514
Republic of Austria,0.006073969072164949,3.3806970509383376e-05,0.008354701298701299,0.0008271625344352618,0.000891159793814433,0.0004789175257731959,0.0045559375,0.012185000000000001,0.03340065469539852
Republic of Azerbaijan,0.0010238144329896906,0.0001659090909090909,0.010402675324675323,8.78512396694215e-05,0.0005580670103092784,0.0008293298969072165,0.010715338541666668,0.008746387434554975,0.032529372971681667
Republic of Belarus,0.0013729639175257733,0.0002433957219251337,0.020501896103896102,0.00016763085399449035,0.0007381701030927835,0.0011470360824742268,0.012750677083333333,0.016225549738219894,0.05314731960446174
Republic of Benin,0.00027926509186351707,7.171122994652407e-05,0.030639792207792206,0.00048055096418732785,0.00040419689119170984,0.0007571649484536082,0.01886848958333333,0.010571020942408376,0.062072191859176604
Republic of Botswana,0.0009630051813471503,9.533678756476684e-05,0.015662181818181818,0.0005530853994490358,0.0012561240310077519,0.002882139175257732,0.014417942708333333,0.014731570680628272,0.05056138578176986
Republic of Bulgaria,0.007219845360824742,5.1783625730994155e-05,0.013298493506493505,0.0004089256198347107,0.0038470103092783504,0.0016867525773195877,0.009106588541666667,0.02227324607329843,0.057892645614446986
